"","X","country","cnt_code","year","va","ps","ge","rq","rl","cc","fh_score","not_free","partly_free","free","fh_type"
"70",75,"Equatorial Guinea","GNQ",2016,-1.93,-0.19,-1.41,-1.38,-1.44,-1.81,7,1,0,0,"not_free"
"71",76,"Greece","GRC",2016,0.65,-0.14,0.21,0.15,0.2,-0.05,2,0,0,1,"free"
"72",77,"Grenada","GRD",2016,0.86,1.01,-0.18,0.08,0.57,0.57,1.5,0,0,1,"free"
"73",78,"Greenland","GRL",2016,1.27,1.96,0.85,1.33,1.74,1.17,NA,NA,NA,NA,NA
"74",79,"Guatemala","GTM",2016,-0.31,-0.54,-0.6,-0.2,-1.04,-0.74,4,0,1,0,"partly_free"
"75",80,"French Guiana","GUF",2016,1.27,0.56,1.14,1.43,1.33,0.98,NA,NA,NA,NA,NA
"76",82,"Guyana","GUY",2016,0.3,-0.03,-0.3,-0.42,-0.31,-0.32,2.5,0,0,1,"free"
"77",83,"Hong Kong SAR, China","HKG",2016,0.27,0.84,1.86,2.15,1.7,1.58,3.5,0,1,0,"partly_free"
"78",84,"Honduras","HND",2016,-0.43,-0.36,-0.73,-0.51,-1.11,-0.69,4,0,1,0,"partly_free"
"79",85,"Croatia","HRV",2016,0.52,0.68,0.49,0.36,0.44,0.19,1.5,0,0,1,"free"
"80",86,"Haiti","HTI",2016,-0.73,-0.67,-2.06,-1.24,-1,-1.35,5,0,1,0,"partly_free"
"81",87,"Hungary","HUN",2016,0.37,0.71,0.45,0.6,0.51,0.08,2,0,0,1,"free"
"82",88,"Indonesia","IDN",2016,0.14,-0.38,0.01,-0.12,-0.36,-0.39,3,0,1,0,"partly_free"
"83",89,"India","IND",2016,0.41,-0.95,0.1,-0.31,-0.07,-0.3,2.5,0,0,1,"free"
"84",90,"Ireland","IRL",2016,1.29,0.88,1.35,1.74,1.54,1.63,1,0,0,1,"free"
"85",91,"Iran, Islamic Rep.","IRN",2016,-1.39,-0.74,-0.2,-1.23,-0.71,-0.72,6,1,0,0,"not_free"
"86",92,"Iraq","IRQ",2016,-1.01,-2.28,-1.26,-1.13,-1.7,-1.4,5.5,1,0,0,"not_free"
"87",93,"Iceland","ISL",2016,1.34,1.33,1.41,1.28,1.51,1.99,1,0,0,1,"free"
"88",94,"Israel","ISR",2016,0.77,-0.83,1.35,1.31,1.02,1.06,1.5,0,0,1,"free"
"89",95,"Italy","ITA",2016,1.04,0.35,0.52,0.71,0.27,0.05,1,0,0,1,"free"
"90",96,"Jamaica","JAM",2016,0.69,0.24,0.41,0.16,-0.25,-0.16,2.5,0,0,1,"free"
"91",97,"Jordan","JOR",2016,-0.76,-0.53,0.14,0.05,0.31,0.27,5.5,1,0,0,"not_free"
"92",98,"Japan","JPN",2016,1,1.01,1.83,1.43,1.38,1.51,1,0,0,1,"free"
"93",99,"Kazakhstan","KAZ",2016,-1.29,0.04,-0.06,-0.1,-0.42,-0.8,5.5,1,0,0,"not_free"
"94",100,"Kenya","KEN",2016,-0.15,-1.33,-0.31,-0.3,-0.53,-0.9,4,0,1,0,"partly_free"
"95",101,"Kyrgyz Republic","KGZ",2016,-0.49,-0.66,-0.9,-0.35,-1.1,-1.08,5,0,1,0,"partly_free"
"96",102,"Cambodia","KHM",2016,-1.14,0.18,-0.69,-0.47,-1.1,-1.3,5.5,1,0,0,"not_free"
"97",103,"Kiribati","KIR",2016,1.03,0.87,-0.45,-0.84,0.21,0.25,1,0,0,1,"free"
"98",104,"St. Kitts and Nevis","KNA",2016,1.07,0.62,0.14,0.37,0.51,0.52,1.5,0,0,1,"free"
"99",105,"Korea, Rep.","KOR",2016,0.63,0.17,1.07,1.11,1.14,0.37,2,0,0,1,"free"
"100",106,"Kuwait","KWT",2016,-0.69,-0.15,-0.18,-0.07,0.03,-0.2,5,0,1,0,"partly_free"
"101",107,"Lao PDR","LAO",2016,-1.73,0.5,-0.39,-0.73,-0.77,-0.93,6.5,1,0,0,"not_free"
"102",108,"Lebanon","LBN",2016,-0.52,-1.56,-0.53,-0.34,-0.86,-0.97,4.5,0,1,0,"partly_free"
"103",109,"Liberia","LBR",2016,-0.1,-0.55,-1.32,-0.95,-0.97,-0.71,3.5,0,1,0,"partly_free"
"104",110,"Libya","LBY",2016,-1.37,-2.21,-1.89,-2.27,-1.87,-1.57,6,1,0,0,"not_free"
"105",111,"St. Lucia","LCA",2016,1.09,0.86,0.01,0.29,0.51,0.63,1,0,0,1,"free"
"106",112,"Liechtenstein","LIE",2016,1.19,1.46,1.7,1.37,1.68,2.05,1,0,0,1,"free"
"107",113,"Sri Lanka","LKA",2016,-0.11,0.07,-0.21,-0.1,-0.01,-0.28,4,0,1,0,"partly_free"
"108",114,"Lesotho","LSO",2016,0.03,-0.25,-0.8,-0.39,-0.18,-0.02,3,0,1,0,"partly_free"
"109",115,"Lithuania","LTU",2016,0.99,0.8,1.09,1.14,1.02,0.67,1,0,0,1,"free"
"110",116,"Luxembourg","LUX",2016,1.44,1.41,1.69,1.72,1.71,2.08,1,0,0,1,"free"
"111",117,"Latvia","LVA",2016,0.87,0.39,1,1.08,0.95,0.49,2,0,0,1,"free"
"112",118,"Kosovo","KSV",2016,-0.16,-0.2,-0.44,-0.19,-0.38,-0.42,3.5,0,1,0,"partly_free"
"113",119,"Macao SAR, China","MAC",2016,-0.06,1.42,1.18,1.78,0.83,0.83,NA,NA,NA,NA,NA
"114",120,"Morocco","MAR",2016,-0.65,-0.29,-0.1,-0.23,-0.14,-0.15,4.5,0,1,0,"partly_free"
"115",122,"Moldova","MDA",2016,-0.03,-0.28,-0.62,-0.12,-0.54,-0.96,3,0,1,0,"partly_free"
"116",123,"Madagascar","MDG",2016,-0.27,-0.4,-1.17,-0.69,-0.74,-0.9,3.5,0,1,0,"partly_free"
"117",124,"Maldives","MDV",2016,-0.74,0.41,-0.33,-0.46,-0.41,-0.67,4.5,0,1,0,"partly_free"
"118",125,"Mexico","MEX",2016,-0.09,-0.77,0.14,0.29,-0.5,-0.77,3,0,1,0,"partly_free"
"119",126,"Marshall Islands","MHL",2016,1.2,0.93,-1.56,-0.98,-0.1,-0.06,1,0,0,1,"free"
"120",127,"Macedonia, FYR","MKD",2016,-0.23,-0.38,0.09,0.44,-0.31,-0.31,3.5,0,1,0,"partly_free"
"121",128,"Mali","MLI",2016,-0.18,-1.55,-0.99,-0.59,-0.78,-0.67,4.5,0,1,0,"partly_free"
"122",129,"Malta","MLT",2016,1.2,1.08,0.95,1.16,1.08,0.72,1,0,0,1,"free"
"123",130,"Myanmar","MMR",2016,-0.85,-0.63,-0.98,-0.87,-0.99,-0.65,5.5,1,0,0,"not_free"
"124",131,"Mongolia","MNG",2016,0.45,0.82,-0.11,-0.08,-0.22,-0.5,1.5,0,0,1,"free"
"125",132,"Montenegro","MNE",2016,0.08,0.16,0.1,0.22,-0.04,-0.1,3,0,1,0,"partly_free"
"126",133,"Mozambique","MOZ",2016,-0.39,-1.05,-0.85,-0.7,-1.02,-0.87,4,0,1,0,"partly_free"
"127",134,"Mauritania","MRT",2016,-0.83,-0.74,-0.79,-0.74,-0.78,-0.8,5.5,1,0,0,"not_free"
"128",136,"Mauritius","MUS",2016,0.86,1.05,0.96,1.03,0.8,0.32,1.5,0,0,1,"free"
"129",137,"Malawi","MWI",2016,0.04,-0.06,-0.73,-0.84,-0.37,-0.75,3,0,1,0,"partly_free"
"130",138,"Malaysia","MYS",2016,-0.47,0.1,0.88,0.71,0.54,0.11,4,0,1,0,"partly_free"
"131",139,"Namibia","NAM",2016,0.61,0.74,0.17,-0.14,0.39,0.37,2,0,0,1,"free"
"132",140,"Niger","NER",2016,-0.34,-1.08,-0.59,-0.67,-0.64,-0.64,3.5,0,1,0,"partly_free"
"133",141,"Nigeria","NGA",2016,-0.3,-1.85,-1.09,-0.92,-1.05,-1.04,4.5,0,1,0,"partly_free"
"134",142,"Nicaragua","NIC",2016,-0.63,-0.17,-0.7,-0.51,-0.6,-0.89,3.5,0,1,0,"partly_free"
"135",144,"Netherlands","NLD",2016,1.48,0.89,1.84,1.98,1.89,1.95,1,0,0,1,"free"
"136",145,"Norway","NOR",2016,1.58,1.17,1.88,1.7,2.02,2.2,1,0,0,1,"free"
"137",146,"Nepal","NPL",2016,-0.23,-0.79,-0.81,-0.76,-0.84,-0.76,3.5,0,1,0,"partly_free"
"138",147,"Nauru","NRU",2016,0.52,0.55,-0.69,-0.38,-0.8,-0.47,2,0,0,1,"free"
"139",148,"New Zealand","NZL",2016,1.44,1.49,1.86,2.04,1.93,2.3,1,0,0,1,"free"
"140",149,"Oman","OMN",2016,-1.11,0.8,0.19,0.61,0.43,0.37,5.5,1,0,0,"not_free"
"141",150,"Pakistan","PAK",2016,-0.69,-2.47,-0.64,-0.64,-0.83,-0.86,4.5,0,1,0,"partly_free"
"142",151,"Panama","PAN",2016,0.53,0.43,0.19,0.36,0.03,-0.49,2,0,0,1,"free"
"143",152,"Palau","PLW",2016,1.23,0.93,-0.41,-0.18,0.32,-0.47,1,0,0,1,"free"
"144",153,"Peru","PER",2016,0.28,-0.16,-0.17,0.51,-0.49,-0.35,2.5,0,0,1,"free"
"145",154,"Philippines","PHL",2016,0.14,-1.3,-0.01,0,-0.4,-0.53,3,0,1,0,"partly_free"
"146",155,"Papua New Guinea","PNG",2016,0.19,-0.5,-0.73,-0.56,-0.75,-0.92,3.5,0,1,0,"partly_free"
